subID	cycle	slidenum	stimtype	timespent	subtrahend	onstimestamp
0123	1	1	Immersion	90	NA	2018-10-17 18:13:04.722339
0123	1	2	Subtraction	45	17	2018-10-17 18:13:04.722339
0123	1	3	Immersion	60	NA	2018-10-17 18:13:04.722339
0123	1	4	Subtraction	60	17	2018-10-17 18:13:04.722339
0123	1	5	Immersion	60	NA	2018-10-17 18:13:04.722339
0123	1	6	Subtraction	90	17	2018-10-17 18:13:04.722339
0123	1	7	Immersion	90	NA	2018-10-17 18:13:04.722339
0123	1	8	Subtraction	45	17	2018-10-17 18:13:04.722339
0123	1	9	Immersion	60	NA	2018-10-17 18:13:04.722339
0123	2	1	Immersion	60	NA	2018-10-18 12:00:15.316372
