reward	subjID	level1_choice	level2_choice
0	0010	1	1
1	0010	1	4
1	0010	1	4
1	0010	1	4
1	0010	1	2
1	0010	1	4
0	0010	1	4
1	0010	1	4
1	0010	1	4
0	0010	1	3
1	0010	1	2
0	0010	2	4
1	0010	2	2
1	0010	1	4
1	0010	1	2
1	0010	1	4
1	0010	1	4
0	0010	1	4
1	0010	1	4
1	0010	1	4
1	0010	2	4
0	0010	2	4
0	0010	2	1
0	0010	2	4
1	0010	1	4
1	0010	1	4
1	0010	1	2
0	0010	1	2
1	0010	1	3
0	0010	1	3
1	0010	1	4
1	0010	1	1
0	0010	1	3
0	0010	1	4
1	0010	1	1
0	0010	1	3
0	0010	1	2
1	0010	1	1
0	0010	1	3
0	0010	1	3
1	0010	2	2
0	0010	2	4
1	0010	2	4
0	0010	2	2
0	0010	1	3
1	0010	1	4
1	0010	1	4
1	0010	1	4
1	0010	1	4
0	0010	1	4
1	0010	1	4
1	0010	1	4
0	0010	1	2
1	0010	1	4
0	0010	1	4
1	0010	1	2
0	0010	1	4
1	0010	1	3
0	0010	2	1
0	0010	1	1
1	0010	1	4
1	0010	1	2
0	0010	1	4
1	0010	1	2
0	0010	1	4
0	0010	1	4
0	0010	1	2
1	0010	2	1
0	0010	2	1
0	0010	2	1
0	0010	2	3
0	0010	2	1
1	0010	1	4
1	0010	1	4
0	0010	1	4
0	0010	1	3
1	0010	1	1
0	0010	1	4
1	0010	1	3
1	0010	1	3
1	0010	1	4
1	0010	1	3
1	0010	1	3
0	0010	1	3
1	0010	1	4
0	0010	1	4
0	0010	1	4
0	0010	1	4
0	0010	2	2
0	0010	2	2
0	0010	1	3
1	0010	1	1
1	0010	1	3
0	0010	1	4
0	0010	1	1
0	0010	1	4
1	0010	1	4
1	0010	1	4
0	0010	2	3
1	0010	2	3
0	0010	2	1
0	0010	2	2
1	0010	1	3
1	0010	1	2
1	0010	1	3
0	0010	1	3
1	0010	1	4
1	0010	1	4
1	0010	1	4
0	0010	1	4
0	0010	1	4
1	0010	1	4
1	0010	1	3
0	0010	1	4
0	0010	1	3
0	0010	1	2
0	0010	1	3
1	0010	1	4
0	0010	2	4
1	0010	1	4
1	0010	2	1
0	0010	2	2
0	0010	2	4
0	0010	2	4
0	0010	1	3
1	0010	1	1
0	0010	1	3
0	0010	1	3
0	0010	1	3
1	0010	1	4
0	0010	1	4
1	0010	1	1
1	0010	1	2
1	0010	1	4
0	0010	1	4
1	0010	1	2
1	0010	1	4
1	0010	1	3
0	0010	1	4
0	0010	1	3
1	0010	1	4
0	0010	1	4
0	0010	1	4
1	0010	1	1
1	0010	1	1
1	0010	1	1
1	0010	1	3
0	0010	1	1
0	0010	1	4
0	0010	1	3
0	0010	1	2
0	0010	1	1
0	0010	1	4
1	0010	1	3
1	0010	1	3
1	0010	1	3
1	0010	1	3
1	0010	1	3
0	0010	1	3
1	0010	1	3
1	0010	1	3
1	0010	1	3
1	0010	1	1
0	0010	1	3
0	0010	1	3
1	0010	1	1
0	0010	1	3
1	0010	1	1
1	0010	1	3
1	0010	1	3
0	0010	1	2
1	0010	1	1
0	0010	1	3
1	0010	1	1
0	0010	1	3
1	0010	1	3
0	0010	1	3
0	0010	1	2
1	0010	1	3
1	0010	1	3
0	0010	1	3
1	0010	1	1
1	0010	1	1
1	0010	1	3
0	0011	1	1
0	0011	1	2
0	0011	1	3
0	0011	1	4
1	0011	2	3
1	0011	2	3
1	0011	2	3
0	0011	2	3
0	0011	2	4
1	0011	1	1
1	0011	1	2
0	0011	1	3
0	0011	2	4
0	0011	1	1
0	0011	2	1
0	0011	1	2
1	0011	1	3
1	0011	1	1
1	0011	1	3
0	0011	1	3
0	0011	1	2
1	0011	1	1
1	0011	1	1
1	0011	1	3
0	0011	1	1
0	0011	1	1
1	0011	2	1
1	0011	1	1
0	0011	1	1
0	0011	1	4
0	0011	1	3
0	0011	1	1
0	0011	1	4
0	0011	2	1
0	0011	2	4
1	0011	1	1
0	0011	1	1
1	0011	1	1
1	0011	1	3
1	0011	1	2
1	0011	1	1
0	0011	1	1
1	0011	1	4
1	0011	1	3
1	0011	1	3
1	0011	1	1
0	0011	1	1
0	0011	1	1
1	0011	1	2
1	0011	1	2
0	0011	1	2
1	0011	2	1
1	0011	1	2
0	0011	1	3
0	0011	1	4
0	0011	1	3
1	0011	2	3
0	0011	1	1
0	0011	2	4
1	0011	1	3
1	0011	1	1
0	0011	1	4
0	0011	1	1
1	0011	2	3
1	0011	2	3
1	0011	2	1
1	0011	2	3
1	0011	2	1
1	0011	2	1
1	0011	1	1
1	0011	2	3
1	0011	2	1
1	0011	2	1
1	0011	2	1
1	0011	2	3
1	0011	2	1
1	0011	2	3
1	0011	2	3
1	0011	2	3
0	0011	2	3
1	0011	2	4
0	0011	2	4
0	0011	1	1
1	0011	1	2
0	0011	1	1
0	0011	1	4
0	0011	2	2
0	0011	2	3
0	0011	2	4
1	0011	1	2
1	0011	1	2
1	0011	1	2
1	0011	1	2
1	0011	1	2
1	0011	1	2
0	0011	1	2
1	0011	1	4
0	0011	1	2
0	0011	1	1
0	0011	2	1
1	0011	2	4
0	0011	2	4
0	0011	2	3
0	0011	1	1
1	0011	1	2
1	0011	1	2
1	0011	1	1
0	0011	1	4
0	0011	1	1
1	0011	2	4
0	0011	2	4
1	0011	2	1
0	0011	2	3
0	0011	1	1
1	0011	1	2
1	0011	1	2
0	0011	1	1
0	0011	1	4
0	0011	2	2
0	0011	1	2
0	0011	2	1
1	0011	1	1
0	0011	1	4
0	0011	1	1
0	0011	1	2
0	0011	2	4
1	0011	2	3
1	0011	2	1
0	0011	2	3
0	0011	2	1
1	0011	2	4
0	0011	2	2
0	0011	2	3
1	0011	1	2
0	0011	1	4
0	0011	1	3
1	0011	1	1
0	0011	2	1
0	0011	1	1
1	0011	1	4
0	0011	2	3
0	0011	1	2
0	0011	1	4
0	0011	2	3
0	0011	2	4
0	0011	1	3
0	0011	2	2
1	0011	2	1
1	0011	1	1
1	0011	1	4
1	0011	1	4
1	0011	2	3
1	0011	2	3
0	0011	2	4
1	0011	2	1
0	0011	1	2
1	0011	2	3
0	0011	2	3
0	0011	2	3
0	0011	1	3
1	0011	1	2
1	0011	1	2
0	0011	1	2
0	0011	2	3
0	0011	2	1
1	0011	2	4
0	0011	1	1
0	0011	1	2
1	0011	2	3
1	0011	2	3
0	0011	2	3
1	0011	2	4
0	0011	2	3
0	0011	1	1
0	0011	1	1
0	0011	1	4
0	0011	2	4
0	0011	1	1
0	0011	1	2
1	0011	2	3
0	0011	2	3
1	0011	1	2
1	0011	2	3
1	0011	1	2
1	0011	2	1
1	0011	1	4
0	0011	2	3
0	0011	1	4
1	0011	2	3
0	0011	1	2
0	0014	1	1
0	0014	1	4
1	0014	2	2
0	0014	2	2
0	0014	2	2
0	0014	2	1
1	0014	1	3
1	0014	1	3
1	0014	1	1
1	0014	1	3
0	0014	1	1
0	0014	1	1
1	0014	1	3
1	0014	1	3
0	0014	1	3
1	0014	1	3
1	0014	1	1
0	0014	1	3
0	0014	1	3
1	0014	2	1
1	0014	2	1
0	0014	2	1
0	0014	1	4
0	0014	1	2
1	0014	1	3
0	0014	1	3
0	0014	1	3
1	0014	1	4
0	0014	1	2
1	0014	2	2
0	0014	2	2
0	0014	2	2
0	0014	1	1
1	0014	1	4
0	0014	1	4
1	0014	1	3
1	0014	1	3
1	0014	1	1
1	0014	1	3
1	0014	1	1
1	0014	1	3
1	0014	1	1
0	0014	1	3
1	0014	1	3
1	0014	1	3
1	0014	1	1
0	0014	1	1
1	0014	1	3
1	0014	1	3
0	0014	1	3
1	0014	1	3
1	0014	1	3
0	0014	1	3
1	0014	1	1
1	0014	1	3
1	0014	1	1
0	0014	1	3
1	0014	1	3
1	0014	1	3
1	0014	1	3
1	0014	1	1
1	0014	1	3
0	0014	1	1
1	0014	1	1
0	0014	1	1
1	0014	1	1
1	0014	1	3
1	0014	1	3
1	0014	1	3
0	0014	1	3
1	0014	1	3
1	0014	1	3
1	0014	1	3
1	0014	1	3
0	0014	1	1
0	0014	1	1
1	0014	1	1
0	0014	1	3
1	0014	1	4
1	0014	1	3
0	0014	1	4
1	0014	1	3
0	0014	1	1
0	0014	1	3
0	0014	2	2
1	0014	1	3
0	0014	1	1
1	0014	1	4
1	0014	1	3
1	0014	2	2
0	0014	2	4
0	0014	1	3
0	0014	1	1
1	0014	1	3
0	0014	1	3
1	0014	2	2
1	0014	2	2
1	0014	2	2
1	0014	2	2
1	0014	2	4
0	0014	2	2
1	0014	2	2
0	0014	2	2
0	0014	1	1
1	0014	1	3
0	0014	1	1
1	0014	1	1
1	0014	1	1
0	0014	1	3
0	0014	2	4
1	0014	2	4
1	0014	2	2
0	0014	2	2
1	0014	1	3
0	0014	2	4
0	0014	1	3
0	0014	1	4
1	0014	1	3
0	0014	2	4
1	0014	2	2
0	0014	2	2
1	0014	2	2
0	0014	1	4
1	0014	1	3
1	0014	1	3
1	0014	1	3
1	0014	1	3
0	0014	1	3
0	0014	1	1
0	0014	2	2
0	0014	2	1
1	0014	1	3
1	0014	1	1
0	0014	1	3
0	0014	1	3
0	0014	1	2
0	0014	2	2
1	0014	2	1
1	0014	2	3
0	0014	2	3
0	0014	2	4
0	0014	2	3
1	0014	1	3
1	0014	1	1
0	0014	1	3
0	0014	1	3
0	0014	1	2
0	0014	1	3
1	0014	2	4
1	0014	2	4
0	0014	2	2
1	0014	2	3
0	0014	2	1
0	0014	2	2
0	0014	2	1
1	0014	1	3
0	0014	1	1
0	0014	1	3
1	0014	1	2
0	0014	1	4
0	0014	2	2
0	0014	1	1
0	0014	2	4
0	0014	2	4
1	0014	2	1
0	0014	2	3
0	0014	2	2
1	0014	1	3
1	0014	1	3
1	0014	1	1
1	0014	1	3
0	0014	1	3
1	0014	1	3
0	0014	1	1
0	0014	1	3
1	0014	1	4
0	0014	1	2
0	0014	1	4
0	0014	1	4
1	0014	1	3
0	0015	2	1
1	0015	2	1
1	0015	1	4
0	0015	2	1
1	0015	2	2
1	0015	1	3
1	0015	1	3
1	0015	1	3
1	0015	1	3
0	0015	1	3
0	0015	2	2
0	0015	1	3
0	0015	1	3
1	0015	2	2
0	0015	2	4
1	0015	2	1
1	0015	1	3
0	0015	1	3
0	0015	2	3
1	0015	2	4
1	0015	2	4
0	0015	2	4
1	0015	2	1
1	0015	1	3
1	0015	2	2
0	0015	2	1
0	0015	2	3
0	0015	1	4
0	0015	1	3
0	0015	2	2
1	0015	2	2
0	0015	1	3
1	0015	2	1
1	0015	1	3
0	0015	1	3
1	0015	2	1
1	0015	2	1
0	0015	1	3
0	0015	1	4
0	0015	1	3
1	0015	2	2
0	0015	2	2
1	0015	2	3
1	0015	2	1
0	0015	2	3
1	0015	2	2
0	0015	2	2
1	0015	1	3
0	0015	1	3
1	0015	1	2
0	0015	2	2
1	0015	2	1
0	0015	1	3
1	0015	1	3
0	0015	2	2
0	0015	2	1
1	0015	1	3
0	0015	1	2
0	0015	2	1
1	0015	2	1
1	0015	2	1
0	0015	1	1
1	0015	1	2
0	0015	1	3
0	0015	2	3
0	0015	1	1
0	0015	1	4
1	0015	1	1
0	0015	2	4
0	0015	1	3
1	0015	2	4
0	0015	2	4
0	0015	1	1
1	0015	2	2
0	0015	2	2
0	0015	2	1
0	0015	2	2
0	0015	1	1
1	0015	1	4
0	0015	1	2
0	0015	1	3
1	0015	2	2
0	0015	2	4
0	0015	2	2
0	0015	1	1
0	0015	2	4
0	0015	1	4
0	0015	1	1
0	0015	1	1
0	0015	1	2
1	0015	1	4
0	0015	1	4
0	0015	2	3
0	0015	2	4
0	0015	1	3
1	0015	2	3
0	0015	1	3
0	0015	2	1
1	0015	2	4
0	0015	1	3
0	0015	2	1
1	0015	1	3
1	0015	1	3
1	0015	1	1
1	0015	2	3
0	0015	2	1
0	0015	2	1
0	0015	2	4
0	0015	2	2
0	0015	1	4
1	0015	2	2
0	0015	1	3
1	0015	2	1
0	0015	2	1
1	0015	2	3
1	0015	1	4
1	0015	1	4
1	0015	1	4
1	0015	2	2
0	0015	1	3
0	0015	2	1
0	0015	1	4
1	0015	1	1
0	0015	1	1
0	0015	2	4
0	0015	1	3
1	0015	2	2
1	0015	2	3
0	0015	1	1
0	0015	1	4
0	0015	2	2
1	0015	2	2
1	0015	2	2
1	0015	2	2
0	0015	2	4
1	0015	1	3
0	0015	1	2
1	0015	1	3
1	0015	1	3
1	0015	1	2
0	0015	2	2
1	0015	2	3
0	0015	1	1
1	0015	1	4
0	0015	1	3
1	0015	2	4
1	0015	2	4
1	0015	2	4
1	0015	2	3
1	0015	1	3
0	0015	1	4
1	0015	1	3
1	0015	2	2
0	0015	1	4
1	0015	1	3
0	0015	1	3
1	0015	1	1
1	0015	1	4
1	0015	2	2
1	0015	1	2
0	0015	1	4
1	0015	1	2
1	0015	1	4
1	0015	1	4
1	0015	1	4
1	0015	2	2
0	0015	2	2
0	0015	2	1
0	0015	1	1
0	0015	1	1
1	0015	1	4
0	0015	2	4
0	0015	1	2
0	0015	1	1
0	0015	2	1
1	0015	1	1
1	0015	1	4
0	0017	2	4
1	0017	2	2
1	0017	2	1
1	0017	2	1
1	0017	2	3
1	0017	2	3
0	0017	2	4
0	0017	2	3
1	0017	1	2
0	0017	1	2
1	0017	2	3
0	0017	2	3
1	0017	2	1
1	0017	2	4
0	0017	1	4
1	0017	1	4
0	0017	1	2
1	0017	1	2
0	0017	2	4
0	0017	1	4
0	0017	1	4
0	0017	2	4
1	0017	1	1
0	0017	2	4
0	0017	1	3
0	0017	2	4
0	0017	1	2
1	0017	1	2
0	0017	2	4
1	0017	1	4
0	0017	2	4
1	0017	1	2
1	0017	1	2
1	0017	2	4
1	0017	2	2
1	0017	1	3
1	0017	2	4
1	0017	1	1
0	0017	2	2
0	0017	1	2
0	0017	2	1
0	0017	2	4
1	0017	1	1
0	0017	2	4
1	0017	1	2
1	0017	1	2
1	0017	1	2
0	0017	2	4
1	0017	1	2
1	0017	2	3
0	0017	2	4
0	0017	2	3
0	0017	2	4
0	0017	1	2
0	0017	2	2
0	0017	2	4
1	0017	1	3
1	0017	1	4
0	0017	2	4
1	0017	1	2
